Year Released,Album Length,Album Name,Artist
2015,4526745,So Icey Boy 2,Gucci Mane
2015,3918096,"Wilt Chamberlain, Pt. 5",Gucci Mane
2015,3919322,Brick Squad Mafia 3,Gucci Mane
2015,4649808,Trap-Tacular,Gucci Mane
2015,4251157,Gucci Classics,Gucci Mane
2015,4782280,The Hood Classics,Gucci Mane
2015,3490253,Wilt Chamberlain,Gucci Mane
2015,4354016,Writing on the Wall,Gucci Mane
2015,4178384,ATL Dons,Gucci Mane
2015,4167382,"Brick Squad Is the Army, Better Yet the Navy",Gucci Mane
2015,4427902,I'm Up,Gucci Mane
2015,3970680,The Burrprint (The Movie 3D),Gucci Mane
2015,4269077,The Gooch,Gucci Mane
2015,3002914,"Wilt Chamberlain, Pt. 3",Gucci Mane
2015,3946410,"No Pad, No Pencil",Gucci Mane
2015,3977608,Trap God,Gucci Mane
2022,3920416,It's Only Me,Lil Baby
2022,3920416,It's Only Me,Lil Baby
2021,3592852,The Voice of the Heroes,Lil Baby
2021,3592852,The Voice of the Heroes,Lil Baby
2020,4885512,My Turn (Deluxe),Lil Baby
2020,4887271,My Turn (Deluxe),Lil Baby
2020,4632784,My Turn (Deluxe),Lil Baby
2020,4634543,My Turn (Deluxe),Lil Baby
2020,3652848,My Turn,Lil Baby
2020,3654607,My Turn,Lil Baby
2018,2496874,Street Gossip,Lil Baby
2018,2332540,Drip Harder,Lil Baby
2018,3082971,Harder Than Ever,Lil Baby
2017,2932435,Too Hard,Lil Baby
2017,1744557,2 The Hard Way,Lil Baby
2017,2470150,Harder Than Hard,Lil Baby
2017,2395130,Perfect Timing,Lil Baby
2022,3112715,King's Disease III,Nas
2022,3112749,King's Disease III,Nas
2021,1756243,Magic,Nas
2021,1756047,Magic,Nas
2021,3092420,King's Disease II,Nas
2021,3092420,King's Disease II,Nas
2021,3969569,It Was Written (Expanded Edition),Nas
2020,2300042,King's Disease,Nas
2020,2300042,King's Disease,Nas
2019,3583253,The Lost Tapes 2,Nas
2018,1592989,NASIR,Nas
2018,2865756,Illmatic: Live from the Kennedy Center with the National Symphony Orchestra,Nas
2014,5144047,Illmatic XX,Nas
2012,4552793,Life Is Good,Nas
2012,3497408,Life Is Good,Nas
2010,3710581,Distant Relatives,Damian Marley
2008,3475932,Nas,Nas
2008,3475874,Nas [Exclusive Edition (Edited)],Nas
2007,3784967,Hip Hop Is Dead (Expanded Edition),Nas
2004,5265378,Street's Disciple,Nas
2004,5265365,Street's Disciple,Nas
2003,444048,QB 2 Compton Ringtones,Nas
2002,3424651,God's Son,Nas
2002,3424635,God's Son,Nas
2002,2380863,The Lost Tapes,Nas
2001,3401594,Stillmatic,Nas
2001,3401594,Stillmatic,Nas
2001,3408757,Stillmatic,Nas
1999,3761153,Nastradamus,Nas
1999,3760983,Nastradamus,Nas
1999,3891330,I Am...,Nas
1999,3896395,I Am...,Nas
1996,3515502,It Was Written,Nas
1994,2388877,Illmatic,Nas
1994,2389544,Illmatic,Nas
2020,4969309,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4964979,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,6303177,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
2020,3733776,Eternal Atake,Lil Uzi Vert
2017,4172312,Luv Is Rage 2 (Deluxe),Lil Uzi Vert
2017,3380154,Luv Is Rage 2,Lil Uzi Vert
2016,1953353,The Perfect LUV Tape,Lil Uzi Vert
2016,2032417,Lil Uzi Vert vs. The World,Lil Uzi Vert
2015,2595859,Luv Is Rage,Lil Uzi Vert
2020,2430693,From Dark to Light,NLE Choppa
2020,3683326,Top Shotta,NLE Choppa
2020,3685108,Top Shotta,NLE Choppa
2019,1506117,Cottonwood,NLE Choppa
2019,1775553,Holly Trap,NLE Choppa
2022,4975390,Yellow Tape 2 (Deluxe),Key Glock
2022,4973610,Yellow Tape 2 (Deluxe),Key Glock
2021,3213980,Yellow Tape 2,Key Glock
2021,3211547,Yellow Tape 2,Key Glock
2021,3713613,Dum and Dummer 2,Young Dolph
2021,3711733,Dum and Dummer 2,Young Dolph
2020,2602928,Son Of A Gun,Key Glock
2020,2604342,Son Of A Gun,Key Glock
2020,2733981,Yellow Tape,Key Glock
2020,2732796,Yellow Tape,Key Glock
2019,3629952,Dum and Dummer,Young Dolph
2019,3630444,Dum and Dummer,Young Dolph
2018,2229194,Glockoma,Key Glock
2018,2226369,Glockoma,Key Glock
2018,2830995,Glock Bond,Key Glock
2018,2637779,Glock Bond,Key Glock
2018,2831956,Glock Bond,Key Glock
2017,2223830,Glock Season,Key Glock
2021,2976549,Trip At Knight (Complete Edition),Trippie Redd
2021,2960813,Trip At Knight (Complete Edition),Trippie Redd
2021,6823477,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe),Trippie Redd
2020,4852246,Pegasus (Spooky Sounds Edition),Trippie Redd
2020,4463123,Pegasus,Trippie Redd
2020,4462836,Pegasus,Trippie Redd
2020,4982357,A Love Letter To You 4 (Deluxe),Trippie Redd
2019,3548361,A Love Letter To You 4,Trippie Redd
2019,3550583,A Love Letter To You 4,Trippie Redd
2019,2171515,!,Trippie Redd
2018,2626781,A Love Letter To You 3,Trippie Redd
2018,2803200,LIFE'S A TRIP,Trippie Redd
2017,2880301,A Love Letter To You 2,Trippie Redd
2017,2165037,A Love Letter To You,Trippie Redd
2022,2328022,Feed Tha Streets III,Roddy Ricch
2022,2328022,Feed Tha Streets III,Roddy Ricch
2021,3047354,LIVE LIFE FAST,Roddy Ricch
2021,3047343,LIVE LIFE FAST,Roddy Ricch
2019,2608055,Please Excuse Me for Being Antisocial,Roddy Ricch
2018,2102202,Feed Tha Streets II,Roddy Ricch
2021,4684601,PAPER ROUTE iLLUMINATi,Young Dolph
2021,4679973,PAPER ROUTE iLLUMINATi,Young Dolph
2021,3713613,Dum and Dummer 2,Young Dolph
2021,3711733,Dum and Dummer 2,Young Dolph
2021,4299015,Rich Slave (Deluxe),Young Dolph
2021,4224257,Rich Slave (Deluxe),Young Dolph
2020,2692033,Rich Slave,Young Dolph
2020,2684552,Rich Slave,Young Dolph
2019,3629952,Dum and Dummer,Young Dolph
2019,3630444,Dum and Dummer,Young Dolph
2018,2683754,Role Model,Young Dolph
2018,2686421,Role Model,Young Dolph
2017,2031251,Thinking Out Loud,Young Dolph
2017,2031511,Thinking Out Loud,Young Dolph
2017,2013269,Tracking Numbers,Berner
2017,1886957,Bulletproof,Young Dolph
2017,1884637,Bulletproof,Young Dolph
2017,2267307,Gelato,Young Dolph
2017,2263843,Gelato,Young Dolph
2016,2638544,Rich Crack Baby,Young Dolph
2016,3194847,Bosses & Shooters,Young Dolph
2016,2083473,King of Memphis,Young Dolph
2015,2494935,16,Young Dolph
2015,2019941,Shittin On The Industry,Young Dolph
2015,2454640,16 Zips,Young Dolph
2015,3194647,Felix Brothers,Gucci Mane
2015,2456018,BagMen,Peewee Longway
2015,2786082,High Class Street Music 5: The Plug Best Friend,Young Dolph
2014,3145267,High Class Street Music 4: American Gangster,Young Dolph
2014,2185477,Cross Country Trappin,Young Dolph
2013,3273240,South Memphis Kingpin,Young Dolph
2013,3398011,High Class Street Music 3: Trappin' out a Mansion,Young Dolph
2013,2916805,East Atlanta Memphis,Gucci Mane
2012,4317951,Blue Magic,Young Dolph
2012,4766130,A Time 2 Kill,Young Dolph
2011,3721353,High Class Street Music 2: Hustler's Paradise,Young Dolph
2011,4445483,High Class Street Music,Young Dolph
2010,3766446,Welcome 2 Dolph World,Young Dolph
2022,2533918,90 Days,Finesse2tymes
2022,2516729,90 Days,Finesse2tymes
2022,2569538,Singlez,Finesse2tymes
2019,1947855,Federal 4 Real Free Finesse,Finesse2tymes
2019,2332048,Goin’ Straight In,Finesse2tymes
2019,2605839,Hustle & Flow,Finesse2tymes
2022,1973344,777,Latto
2022,1973344,777,Latto
2020,2643938,Queen of Da Souf (Extended Version) [Deluxe Version],Latto
2020,2643932,Queen of Da Souf (Extended Version) [Deluxe Version],Latto
2020,1884138,Queen of Da Souf,Latto
2020,1884138,Queen of Da Souf,Latto
2018,1991832,Mulatto,Latto
2017,3289421,Latto Let 'Em Know,Latto
2016,1831489,Miss Mulatto,Latto
2021,5417341,Hall of Fame 2.0,Polo G
2021,3242942,Hall of Fame,Polo G
2021,3254019,Hall of Fame,Polo G
2020,2830134,THE GOAT,Polo G
2020,2857614,THE GOAT,Polo G
2019,2473209,Die A Legend,Polo G
2022,1287902,Jupiter's Diary: 7 Day Theory,Rod Wave
2022,4099120,Beautiful Mind,Rod Wave
2021,5109172,SoulFly (Deluxe Version),Rod Wave
2021,3421388,SoulFly,Rod Wave
2021,3424712,SoulFly,Rod Wave
2020,4299321,Pray 4 Love (Deluxe),Rod Wave
2020,4268364,Pray 4 Love (Deluxe),Rod Wave
2020,2317781,Pray 4 Love,Rod Wave
2020,2314876,Pray 4 Love,Rod Wave
2019,2391750,Ghetto Gospel,Rod Wave
2019,1997176,PTSD,Rod Wave
2018,1895329,Hunger Games 3,Rod Wave
2018,1676277,Hunger Games 2,Rod Wave
2022,2867044,Blackout: The Sequel,Money Man
2022,2865623,Blackout: The Sequel,Money Man
2022,1471785,Blackout,Money Man
2022,1471838,Blackout,Money Man
2022,1868221,Big Money,Money Man
2022,1868221,Big Money,Money Man
2021,2061691,Blockchain,Money Man
2021,2061691,Blockchain,Money Man
2020,2967168,Epidemic (Deluxe),Money Man
2020,1900677,State of Emergency,Money Man
2020,1143129,Epidemic,Money Man
2020,1143129,Epidemic,Money Man
2019,2998978,Long Money,Peewee Longway
2019,3002250,Long Money,Peewee Longway
2019,3751535,Paranoia,Money Man
2018,1237296,TraumaMan,Money Man
2018,1376726,No Promo,Money Man
2018,1847468,6 Hours 2,Money Man
2018,1378535,6 Hours,Money Man
2018,1378607,6 Hours,Money Man
2018,1896674,Grow God,Money Man
2018,1773259,Grow God,Money Man
2017,1086215,24 Hours,Money Man
2017,2315931,Secret Society,Money Man
2016,2241091,Black Circle Friday,Money Man
2016,2787912,Black Circle 2,Money Man
2016,2580826,Black Circle,Money Man
2022,5091736,Who is Nardo Wick?? (Deluxe),Nardo Wick
2022,5091767,Who is Nardo Wick?? (Deluxe),Nardo Wick
2022,4897700,Who is Nardo Wick?? (Deluxe),Nardo Wick
2022,4897731,Who is Nardo Wick?? (Deluxe),Nardo Wick
2021,2942676,Who is Nardo Wick?,Nardo Wick
2021,2942516,Who is Nardo Wick?,Nardo Wick
2021,1336293,B4 AVA,A Boogie Wit da Hoodie
2021,1336293,B4 AVA,A Boogie Wit da Hoodie
2020,5042580,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie
2020,5042580,Artist 2.0 (Deluxe),A Boogie Wit da Hoodie
2020,3551950,Artist 2.0,A Boogie Wit da Hoodie
2020,3551950,Artist 2.0,A Boogie Wit da Hoodie
2018,3704676,Hoodie SZN,A Boogie Wit da Hoodie
2018,1570622,International Artist,A Boogie Wit da Hoodie
2017,3101172,The Bigger Artist,A Boogie Wit da Hoodie
2016,2392694,Artist,A Boogie Wit da Hoodie
2022,3146016,ONLY BUILT 4 DIAMOND LINKS,Peezy
2022,3144346,ONLY BUILT 4 DIAMOND LINKS,Peezy
2022,1005366,Kut The Kap,How DBlack Do Dat
2021,1534833,Free Rio,Peezy
2020,1532686,Ghetto Superstars,Peezy
2020,2832069,Ballin Ain't A Crime 2,Peezy
2020,1611897,Ghetto Rich Niggaz,Payroll Giovanni
2019,1180610,Royalty One,Peezy
2019,1796959,No Hooks II,Peezy
2018,1323736,No Hooks,Peezy
2018,3476445,East Side,Philthy Rich
2017,3672741,Ghetto Wave,Peezy
2017,3036038,Ghetto Wave,Peezy
2017,1282997,Winter Grind,Peezy
2017,1287571,Winter Grind,Peezy
2017,2917894,People's Champ,Peezy
2017,2919964,People's Champ,Peezy
2017,2661599,Ballin Ain't a Crime,Peezy
2017,3069975,Number 1 Ghetto Boy,Peezy
2016,4173448,Mud Sweat & Tears,Peezy
2016,2295356,Mud In Mud Out Vol 1,Peezy
2015,3998631,Mud Music 2 Reloaded,Peezy
2014,3262425,Mud Muzik,Peezy
2022,4426440,Survivor's Remorse: A Side & B Side,G Herbo
2022,4426440,Survivor's Remorse: A Side & B Side,G Herbo
2022,2137644,Survivor’s Remorse: A Side,G Herbo
2022,2137644,Survivor’s Remorse: A Side,G Herbo
2021,3442800,25,G Herbo
2021,3442800,25,G Herbo
2020,5641390,PTSD (Deluxe),G Herbo
2020,5641413,PTSD (Deluxe),G Herbo
2020,2841496,PTSD,G Herbo
2020,2841519,PTSD,G Herbo
2019,1677004,Sessions,G Herbo
2019,2668009,Still Swervin,G Herbo
2019,2647414,Still Swervin,G Herbo
2018,2808133,Swervo,G Herbo
2018,2796206,Swervo,G Herbo
2017,5701296,Humble Beast (Deluxe),G Herbo
2017,3373859,Humble Beast,G Herbo
2017,3373859,Humble Beast,G Herbo
2016,2313107,Strictly 4 My Fans,G Herbo
2016,3503448,Welcome to Fazoland,G Herbo
2016,3577249,Ballin Like I'm Kobe,G Herbo
2014,1845442,Pistol P Project,G Herbo
2022,2462559,It's Not Me It's You (Deluxe),DDG
2022,2462559,It's Not Me It's You (Deluxe),DDG
2022,1811228,It's Not Me It's You,DDG
2022,1811228,It's Not Me It's You,DDG
2021,2081417,Die 4 Respect,DDG
2021,2081417,Die 4 Respect,DDG
2019,2978041,VALEDICTORIAN,DDG
2018,1126195,Take Me Serious,DDG
2021,3053486,CHOMP 2,Russ
2020,3970767,SHAKE THE SNOW GLOBE (DELUXE),Russ
2020,2624956,SHAKE THE SNOW GLOBE,Russ
2018,3064609,ZOO,Russ
2017,3838339,There's Really A Wolf,Russ
2014,2219512,Silence,Russ
2014,1658900,Brain Dead,Russ
2014,1273254,Pink Elephant,Russ
2013,1979108,Color Blind,Russ
2013,2413864,5280,Russ
2013,1950403,Velvet,Russ
2013,4615566,The Edge,Russ
2013,3531875,Straight from Limbo,Russ
2012,2800554,Vacation,Russ
2012,1716736,Apollo 13,Russ
2021,1938182,Cheers to the Best Memories,dvsn
2021,1938182,Cheers to the Best Memories,dvsn
2020,3599976,Featuring Ty Dolla $ign,Ty Dolla $ign
2020,3599975,Featuring Ty Dolla $ign,Ty Dolla $ign
2018,2112663,MIH-TY,MihTy
2018,4277332,Beach House 3 (Deluxe Edition),Ty Dolla $ign
2017,3110066,Beach House 3,Ty Dolla $ign
2016,3312584,Campaign,Ty Dolla $ign
2016,4884010,Free TC (Deluxe Edition),Ty Dolla $ign
2016,4883914,Free TC (Deluxe Edition),Ty Dolla $ign
2015,3980833,Free TC,Ty Dolla $ign
2015,3980736,Free TC,Ty Dolla $ign
2021,3897498,Destined 2 Win,Lil Tjay
2021,3897498,Destined 2 Win,Lil Tjay
2021,3909045,Destined 2 Win,Lil Tjay
2020,1341604,State of Emergency,Lil Tjay
2020,1341604,State of Emergency,Lil Tjay
2019,3356636,True 2 Myself,Lil Tjay
2022,4475793,Fighting Demons (Deluxe),Juice WRLD
2022,4475793,Fighting Demons (Deluxe),Juice WRLD
2021,3117069,Goodbye & Good Riddance (Anniversary),Juice WRLD
2021,3117069,Goodbye & Good Riddance (Anniversary),Juice WRLD
2020,3528040,Legends Never Die,Juice WRLD
2020,3528196,Legends Never Die,Juice WRLD
2019,4522931,Death Race For Love (Bonus Track Version),Juice WRLD
2019,4522931,Death Race For Love (Bonus Track Version),Juice WRLD
2018,2850485,Goodbye & Good Riddance,Juice WRLD
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2022,3056156,Kutthroat Bill: Vol. 1,Kodak Black
2022,3056781,Kutthroat Bill: Vol. 1,Kodak Black
2022,3430141,Back For Everything,Kodak Black
2022,3429352,Back For Everything,Kodak Black
2021,1304260,Haitian Boy Kodak,Kodak Black
2021,1304260,Haitian Boy Kodak,Kodak Black
2020,2035287,Bill Israel,Kodak Black
2020,2035287,Bill Israel,Kodak Black
2018,2873420,Dying to Live,Kodak Black
2018,3656205,Heart Break Kodak (HBK),Kodak Black
2017,6036132,Project Baby 2: All Grown Up (Deluxe Edition),Kodak Black
2017,1882218,FEMA (Finesse Elevate Motivate Achieve),Kodak Black
2017,3961150,Project Baby 2: All Grown Up,Kodak Black
2017,3815824,Painting Pictures,Kodak Black
2016,2311099,Lil Big Pac,Kodak Black
2015,4609269,Institution,Kodak Black
2015,3272405,Project Baby,Kodak Black
2014,3557843,Heart of the Projects,Kodak Black
2021,3693958,Still Sleep? (Deluxe),Sleepy Hallow
2021,2049663,Still Sleep?,Sleepy Hallow
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2019,1988489,DON'T SLEEP,Sleepy Hallow
2019,1995689,DON'T SLEEP,Sleepy Hallow
2022,3321252,I Never Felt Nun,EST Gee
2022,3321251,I Never Felt Nun,EST Gee
2022,2304272,Last Ones Left,42 Dugg
2022,2304272,Last Ones Left,42 Dugg
2021,3820432,Bigger Than Life Or Death (Deluxe),EST Gee
2021,3820491,Bigger Than Life Or Death (Deluxe),EST Gee
2021,1144800,Bigger Than Life Or Death Part 2,EST Gee
2021,1144800,Bigger Than Life Or Death Part 2,EST Gee
2021,2207754,Bigger Than Life Or Death,EST Gee
2021,2207754,Bigger Than Life Or Death,EST Gee
2020,2317505,I Still Dont Feel Nun,EST Gee
2020,2318446,I Still Dont Feel Nun,EST Gee
2020,1659817,Ion Feel Nun,EST Gee
2020,1659817,Ion Feel Nun,EST Gee
2019,2179241,Die Bloody,EST Gee
2019,2164952,Die Bloody,EST Gee
2019,3067340,El Toro,EST Gee
2019,3042657,El Toro,EST Gee
2021,3094540,Life of a DON,Don Toliver
2021,3094540,Life of a DON,Don Toliver
2020,3139787,Heaven Or Hell (CHOPNOTSLOP REMIX),Don Toliver
2020,2191169,Heaven Or Hell,Don Toliver
2018,2325759,Donny Womack,Don Toliver
2021,2061005,Shockwave,Marshmello
2021,2061005,Shockwave,Marshmello
2019,2330085,Joytime III,Marshmello
2018,1887725,Joytime II,Marshmello
2016,2106615,Joytime,Marshmello
2022,4834195,The Melodic Blue (Deluxe),Baby Keem
2021,3821220,The Melodic Blue,Baby Keem
2021,3221386,The Melodic Blue,Baby Keem
2019,2045065,DIE FOR MY BITCH,Baby Keem
2018,1320547,The Sound of Bad Habit,Baby Keem
2022,4567059,Gangsta Art,Yo Gotti
2022,4567059,Gangsta Art,Yo Gotti
2021,4339805,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,4339805,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,3090501,A Gangsta’s Pain,Moneybagg Yo
2021,3090501,A Gangsta’s Pain,Moneybagg Yo
2020,2306116,Code Red,Moneybagg Yo
2020,2306116,Code Red,Moneybagg Yo
2020,3697669,Time Served (Deluxe),Moneybagg Yo
2020,3700636,Time Served (Deluxe),Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2019,2427210,43VA HEARTLESS,Moneybagg Yo
2018,2624597,RESET,Moneybagg Yo
2018,1420150,Bet On Me,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,2992228,Money Bags From The Trap,Moneybagg Yo
2017,2585748,Fed Baby’s,Moneybagg Yo
2017,2660954,Federal 3X,Moneybagg Yo
2017,2152312,Heartless,Moneybagg Yo
2017,2153174,Heartless,Moneybagg Yo
2016,3674474,2 Federal,Moneybagg Yo
2016,1664674,All Gas No Brakes,Moneybagg Yo
2016,3718731,ELO: Everybody Lives On,Moneybagg Yo
2016,4417798,Federal Reloaded,Moneybagg Yo
2022,7052566,Queen Radio: Volume 1,Nicki Minaj
2022,6447153,Queen Radio: Volume 1,Nicki Minaj
2022,7054062,Queen Radio: Volume 1,Nicki Minaj
2022,6448953,Queen Radio: Volume 1,Nicki Minaj
2022,6308586,Queen Radio: Volume 1,Nicki Minaj
2022,6310386,Queen Radio: Volume 1,Nicki Minaj
2021,4646498,Beam Me Up Scotty,Nicki Minaj
2018,4226901,Queen (Deluxe),Nicki Minaj
2018,4168821,Queen,Nicki Minaj
2018,3989408,Queen,Nicki Minaj
2014,5492097,The Pinkprint (Deluxe Edition),Nicki Minaj
2014,5077551,The Pinkprint (International Deluxe Explicit),Nicki Minaj
2014,5078548,The Pinkprint (Deluxe),Nicki Minaj
2014,4019753,The Pinkprint,Nicki Minaj
2014,4019754,The Pinkprint,Nicki Minaj
2012,4759859,Pink Friday ... Roman Reloaded (Deluxe Edition),Nicki Minaj
2012,4760820,Pink Friday ... Roman Reloaded (Deluxe Edition),Nicki Minaj
2012,6104417,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),Nicki Minaj
2012,6103724,Pink Friday: Roman Reloaded The Re-Up,Nicki Minaj
2012,4561554,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj
2012,4560927,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj
2011,3056756,Pink Friday,Nicki Minaj
2010,4866032,Pink Friday (Complete Edition),Nicki Minaj
2010,4160608,Pink Friday (Deluxe Edition),Nicki Minaj
2010,3056756,Pink Friday,Nicki Minaj
2021,2417265,Michigan Boy Boat,Lil Yachty
2021,2417261,Michigan Boy Boat,Lil Yachty
2020,4390131,Lil Boat 3.5,Lil Yachty
2020,4390131,Lil Boat 3.5,Lil Yachty
2020,3229482,Lil Boat 3,Lil Yachty
2020,3229482,Lil Boat 3,Lil Yachty
2018,2860119,Nuthin' 2 Prove,Lil Yachty
2018,2701647,Lil Boat 2,Lil Yachty
2017,4161903,Teenage Emotions,Lil Yachty
2016,3089689,Summer Songs 2,Lil Yachty
2016,2420962,Lil Boat,Lil Yachty
2016,2292503,After Da Boat,Lil Yachty
2017,2996057,Hidden Figures - Original Score,Hans Zimmer
2014,3048690,G I R L,Pharrell Williams
2012,3230235,The Billionaire Boys Club Tape,Pharrell Williams
2006,3865210,In My Mind,Pharrell Williams
2006,3865421,In My Mind,Pharrell Williams
2021,1052677,Sin City The Mixtape,Ski Mask The Slump God
2021,1052677,Sin City The Mixtape,Ski Mask The Slump God
2018,1945035,STOKELEY,Ski Mask The Slump God
2018,1305837,BEWARE THE BOOK OF ELI,Ski Mask The Slump God
2018,2038527,You Will Regret (Reloaded),Ski Mask The Slump God
